gis,historical,event_year,free_start_m,free_last_m,free_last_year,prescribed_start_m,prescribed_last_m,prescribed_last_year,compared_through,difference_at_common_m,rmse_m,check_year,free_at_check_m,prescribed_at_check_m,measured_2004_m
9,True,1999.0,40.0,30.0,2004,40.0,50.0,2004,2004,20.0,10.690449676496975,2004,30.0,50.0,50.0
10,True,1999.0,20.0,10.0,2004,20.0,60.0,2004,2004,50.0,26.72612419124244,2004,10.0,60.0,40.0
11,True,1999.0,10.0,20.0,2004,10.0,70.0,2004,2004,50.0,40.53217416888888,2004,20.0,70.0,20.0
12,True,1999.0,20.0,10.0,2004,20.0,80.0,2004,2004,70.0,37.416573867739416,2004,10.0,80.0,30.0
13,True,1999.0,20.0,10.0,2004,20.0,60.0,2004,2004,50.0,26.72612419124244,2004,10.0,60.0,50.0
14,True,1999.0,60.0,50.0,2004,60.0,70.0,2004,2004,20.0,10.690449676496975,2004,50.0,70.0,65.0
15,False,,60.0,60.0,2004,60.0,60.0,2004,2004,0.0,0.0,2004,60.0,60.0,
16,False,,40.0,40.0,2004,40.0,40.0,2004,2004,0.0,0.0,2004,40.0,40.0,
17,False,,90.0,90.0,2004,90.0,90.0,2004,2004,0.0,0.0,2004,90.0,90.0,
18,False,,120.0,120.0,2004,120.0,120.0,2004,2004,0.0,0.0,2004,120.0,120.0,
19,False,,130.0,130.0,2004,130.0,130.0,2004,2004,0.0,0.0,2004,130.0,130.0,
20,False,,70.0,70.0,2004,70.0,70.0,2004,2004,0.0,0.0,2004,70.0,70.0,
32,False,,210.0,200.0,2004,210.0,200.0,2004,2004,0.0,0.0,2004,200.0,200.0,
33,False,,180.0,170.0,2004,180.0,170.0,2004,2004,0.0,0.0,2004,170.0,170.0,
34,False,,210.0,190.0,2004,210.0,190.0,2004,2004,0.0,0.0,2004,190.0,190.0,
35,False,,195.0,175.0,2004,195.0,175.0,2004,2004,0.0,0.0,2004,175.0,175.0,
36,False,,350.0,320.0,2004,350.0,320.0,2004,2004,0.0,0.0,2004,320.0,320.0,
37,False,,330.0,300.0,2004,330.0,300.0,2004,2004,0.0,0.0,2004,300.0,300.0,
38,False,,300.0,270.0,2004,300.0,270.0,2004,2004,0.0,0.0,2004,270.0,270.0,
39,False,,230.0,200.0,2004,230.0,200.0,2004,2004,0.0,0.0,2004,200.0,200.0,
40,False,,210.0,180.0,2004,210.0,180.0,2004,2004,0.0,0.0,2004,180.0,180.0,
41,False,,200.0,180.0,2004,200.0,180.0,2004,2004,0.0,0.0,2004,180.0,180.0,
42,False,,180.0,170.0,2004,180.0,170.0,2004,2004,0.0,0.0,2004,170.0,170.0,
43,False,,170.0,160.0,2004,170.0,160.0,2004,2004,0.0,0.0,2004,160.0,160.0,
44,False,,160.0,150.0,2004,160.0,150.0,2004,2004,0.0,0.0,2004,150.0,150.0,
45,False,,150.0,140.0,2004,150.0,140.0,2004,2004,0.0,0.0,2004,140.0,140.0,
46,False,,150.0,150.0,2004,150.0,150.0,2004,2004,0.0,0.0,2004,150.0,150.0,
47,False,,150.0,140.0,2004,150.0,140.0,2004,2004,0.0,0.0,2004,140.0,140.0,
48,False,,150.0,150.0,2004,150.0,150.0,2004,2004,0.0,0.0,2004,150.0,150.0,
49,False,,90.0,80.0,2004,90.0,80.0,2004,2004,0.0,0.0,2004,80.0,80.0,
50,False,,90.0,90.0,2004,90.0,90.0,2004,2004,0.0,0.0,2004,90.0,90.0,
51,False,,155.0,155.0,2004,155.0,155.0,2004,2004,0.0,0.0,2004,155.0,155.0,
52,False,,170.0,170.0,2004,170.0,170.0,2004,2004,0.0,0.0,2004,170.0,170.0,
53,False,,170.0,170.0,2004,170.0,170.0,2004,2004,0.0,0.0,2004,170.0,170.0,
54,False,,160.0,160.0,2004,160.0,160.0,2004,2004,0.0,0.0,2004,160.0,160.0,
55,False,,170.0,170.0,2004,170.0,170.0,2004,2004,0.0,0.0,2004,170.0,170.0,
56,False,,180.0,180.0,2004,180.0,180.0,2004,2004,0.0,0.0,2004,180.0,180.0,
57,False,,210.0,210.0,2004,210.0,210.0,2004,2004,0.0,0.0,2004,210.0,210.0,
58,False,,240.0,240.0,2004,240.0,240.0,2004,2004,0.0,0.0,2004,240.0,240.0,
59,False,,270.0,270.0,2004,270.0,270.0,2004,2004,0.0,0.0,2004,270.0,270.0,
60,False,,310.0,310.0,2004,310.0,310.0,2004,2004,0.0,0.0,2004,310.0,310.0,
61,False,,330.0,330.0,2004,330.0,330.0,2004,2004,0.0,0.0,2004,330.0,330.0,
62,False,,320.0,320.0,2004,320.0,320.0,2004,2004,0.0,0.0,2004,320.0,320.0,
63,False,,300.0,300.0,2004,300.0,300.0,2004,2004,0.0,0.0,2004,300.0,300.0,
64,False,,300.0,290.0,2004,300.0,290.0,2004,2004,0.0,0.0,2004,290.0,290.0,
65,False,,290.0,280.0,2004,290.0,280.0,2004,2004,0.0,0.0,2004,280.0,280.0,
66,False,,290.0,280.0,2004,290.0,280.0,2004,2004,0.0,0.0,2004,280.0,280.0,
67,False,,300.0,290.0,2004,300.0,290.0,2004,2004,0.0,0.0,2004,290.0,290.0,
84,True,1989.0,25.0,20.0,2004,25.0,35.0,2004,2004,15.0,29.860788111948196,2004,20.0,35.0,30.0
85,True,1989.0,0.0,0.0,2004,0.0,80.0,2004,2004,80.0,71.74690967295419,2004,0.0,80.0,70.0
86,True,1989.0,0.0,0.0,2004,0.0,60.0,2004,2004,60.0,60.0,2004,0.0,60.0,50.0
87,True,1989.0,50.0,30.0,2004,50.0,50.0,2004,2004,20.0,17.45743121887939,2004,30.0,50.0,40.0
88,False,,160.0,140.0,2004,160.0,140.0,2004,2004,0.0,0.0,2004,140.0,140.0,
89,False,,160.0,120.0,2004,160.0,120.0,2004,2004,0.0,0.0,2004,120.0,120.0,
90,False,,160.0,120.0,2004,160.0,120.0,2004,2004,0.0,0.0,2004,120.0,120.0,
