transect_id,domain_number,distance_m,match_method
usa_NC_0032_0021,1.0,0.0,point_in_polygon
usa_NC_0032_0022,1.0,0.0,point_in_polygon
usa_NC_0032_0023,1.0,0.0,point_in_polygon
usa_NC_0032_0024,1.0,0.0,point_in_polygon
usa_NC_0032_0025,1.0,0.0,point_in_polygon
usa_NC_0032_0026,1.0,0.0,point_in_polygon
usa_NC_0032_0027,1.0,0.0,point_in_polygon
usa_NC_0032_0028,1.0,0.0,point_in_polygon
usa_NC_0032_0029,1.0,0.0,point_in_polygon
usa_NC_0032_0030,2.0,0.0,point_in_polygon
usa_NC_0032_0031,2.0,0.0,point_in_polygon
usa_NC_0032_0032,2.0,0.0,point_in_polygon
usa_NC_0032_0033,2.0,0.0,point_in_polygon
usa_NC_0032_0034,2.0,0.0,point_in_polygon
usa_NC_0032_0035,2.0,0.0,point_in_polygon
usa_NC_0032_0036,2.0,0.0,point_in_polygon
usa_NC_0032_0037,2.0,0.0,point_in_polygon
usa_NC_0032_0038,2.0,0.0,point_in_polygon
usa_NC_0032_0039,2.0,0.0,point_in_polygon
usa_NC_0032_0040,2.0,0.0,point_in_polygon
usa_NC_0032_0041,3.0,0.0,point_in_polygon
usa_NC_0032_0042,3.0,0.0,point_in_polygon
usa_NC_0032_0043,3.0,0.0,point_in_polygon
usa_NC_0032_0044,3.0,0.0,point_in_polygon
usa_NC_0032_0045,3.0,0.0,point_in_polygon
usa_NC_0032_0046,3.0,0.0,point_in_polygon
usa_NC_0032_0047,3.0,0.0,point_in_polygon
usa_NC_0032_0048,3.0,0.0,point_in_polygon
usa_NC_0032_0049,3.0,0.0,point_in_polygon
usa_NC_0032_0050,3.0,0.0,point_in_polygon
usa_NC_0032_0051,4.0,0.0,point_in_polygon
usa_NC_0032_0052,4.0,0.0,point_in_polygon
usa_NC_0032_0053,4.0,0.0,point_in_polygon
usa_NC_0032_0054,4.0,0.0,point_in_polygon
usa_NC_0032_0055,4.0,0.0,point_in_polygon
