gis,pad,drowned,relocation_blocked,last_managed_year,reason,overwash_removed_m3,dunes_rebuilt,relocations
9,23,False,False,15,managed throughout,5924.998268817273,4,2
10,24,False,False,15,managed throughout,7493.882755840174,3,2
11,25,False,False,15,managed throughout,4514.214683380204,3,1
12,26,False,False,15,managed throughout,9437.672294007352,2,0
13,27,False,False,15,managed throughout,13902.96863618676,2,0
14,28,False,False,15,managed throughout,6852.113084436633,2,0
15,29,False,False,15,managed throughout,5008.008358329147,3,0
16,30,False,False,15,managed throughout,5852.753064036691,4,0
17,31,False,False,15,managed throughout,6987.365145778052,4,0
18,32,False,False,15,managed throughout,3631.051428560695,5,0
19,33,False,False,15,managed throughout,2401.6772387479127,6,0
20,34,False,False,15,managed throughout,6223.0685783421,6,0
32,46,False,False,15,managed throughout,576.701499801998,3,0
33,47,False,False,15,managed throughout,2269.962397064511,2,0
34,48,False,False,15,managed throughout,3441.6594621676186,5,0
35,49,False,False,15,managed throughout,3044.857628643791,7,1
36,50,False,False,15,managed throughout,3757.4468805341976,7,0
37,51,False,False,15,managed throughout,9854.235986091076,6,0
38,52,False,False,15,managed throughout,5646.213300182987,6,0
39,53,False,False,15,managed throughout,8031.992919201026,3,0
40,54,False,False,15,managed throughout,6025.387438361535,4,0
41,55,False,False,15,managed throughout,7452.533787196356,4,0
42,56,False,False,15,managed throughout,6912.665105617683,3,0
43,57,False,False,15,managed throughout,4265.387083650747,2,0
44,58,False,False,15,managed throughout,3409.2436742782647,1,0
45,59,False,False,15,managed throughout,7342.670228998495,2,0
46,60,False,False,15,managed throughout,7606.674878224294,3,0
47,61,False,False,15,managed throughout,6693.446939238647,3,0
48,62,False,False,15,managed throughout,6575.5922022357045,5,0
49,63,False,False,15,managed throughout,6303.2704332261965,7,0
50,64,False,False,15,managed throughout,7693.161398796283,9,0
51,65,False,False,15,managed throughout,6875.316523594617,9,0
52,66,False,False,15,managed throughout,4689.879237742428,9,0
53,67,False,False,15,managed throughout,6630.433650836602,10,0
54,68,False,False,15,managed throughout,6022.840693942038,10,0
55,69,False,False,15,managed throughout,5849.533741690688,11,0
56,70,False,False,15,managed throughout,5437.122631611649,10,0
57,71,False,False,15,managed throughout,4979.1925016851,8,0
58,72,False,False,15,managed throughout,4634.007388834904,9,0
59,73,False,False,15,managed throughout,5532.353733367691,8,0
60,74,False,False,15,managed throughout,5129.298487503269,8,0
61,75,False,False,15,managed throughout,3493.5211986211657,6,0
62,76,False,False,15,managed throughout,4414.535918257367,3,0
63,77,False,False,15,managed throughout,5154.546198693699,2,0
64,78,False,False,15,managed throughout,1997.3567964904992,2,0
65,79,False,False,15,managed throughout,1000.4541870117226,2,0
66,80,False,False,15,managed throughout,1867.0150898282438,3,0
67,81,False,False,15,managed throughout,2306.8268867263923,4,0
84,98,False,False,15,managed throughout,6639.6531491200885,4,1
85,99,False,False,15,managed throughout,4187.189862706485,2,0
86,100,False,False,15,managed throughout,4108.039670028919,1,0
87,101,False,False,15,managed throughout,5113.436334541233,4,0
88,102,False,False,15,managed throughout,3273.6271093645123,7,0
89,103,False,False,15,managed throughout,4421.1240389803115,10,0
90,104,False,False,15,managed throughout,3538.212619446017,12,0
