gis,pad,drowned,relocation_blocked,last_managed_year,reason,overwash_removed_m3,dunes_rebuilt,relocations
9,23,False,False,21,managed throughout,9526.285092376722,3,0
10,24,False,False,21,managed throughout,5684.868949011052,4,0
11,25,False,False,21,managed throughout,2551.7249070963862,4,0
12,26,False,False,21,managed throughout,4698.19015564367,4,0
13,27,False,False,21,managed throughout,3821.915581011048,4,0
14,28,False,False,21,managed throughout,5318.262069603209,3,0
15,29,False,False,21,managed throughout,4867.42275301417,3,0
16,30,False,False,21,managed throughout,9581.12124518202,4,0
17,31,False,False,21,managed throughout,9854.106902843736,4,0
18,32,False,False,21,managed throughout,5917.046145387275,4,0
19,33,False,False,21,managed throughout,1330.8739125447082,4,0
20,34,False,False,21,managed throughout,2913.1756110019032,4,0
32,46,False,False,21,managed throughout,9428.840272766816,4,0
33,47,False,False,21,managed throughout,8791.412074429563,4,0
34,48,False,False,21,managed throughout,2669.153671084625,3,0
35,49,False,False,21,managed throughout,5041.2247483152505,3,0
36,50,False,False,21,managed throughout,7112.511911354639,3,0
37,51,False,False,21,managed throughout,10163.494036287528,3,0
38,52,False,False,21,managed throughout,11637.026534202038,4,0
39,53,False,False,21,managed throughout,10344.034370333446,4,0
40,54,False,False,21,managed throughout,7644.808466549192,4,0
41,55,False,False,21,managed throughout,13986.872437537577,4,0
42,56,False,False,21,managed throughout,11947.924427026766,4,0
43,57,False,False,21,managed throughout,13506.035396148487,4,0
44,58,False,False,21,managed throughout,11472.546350577597,4,0
45,59,False,False,21,managed throughout,11479.650448066628,4,0
46,60,False,False,21,managed throughout,18919.57552346005,4,0
47,61,False,False,21,managed throughout,19819.7520895032,4,0
48,62,False,False,21,managed throughout,19697.829410502993,4,0
49,63,False,False,21,managed throughout,16952.28356458135,4,0
50,64,False,False,21,managed throughout,17749.06270428061,4,0
51,65,False,False,21,managed throughout,19050.360755912676,4,0
52,66,False,False,21,managed throughout,15580.592425945706,3,0
53,67,False,False,21,managed throughout,17308.98652686767,5,0
54,68,False,False,21,managed throughout,11453.41419484981,4,0
55,69,False,False,21,managed throughout,12825.34340595748,4,0
56,70,False,False,21,managed throughout,10510.418543743204,4,0
57,71,False,False,21,managed throughout,12691.371360860567,4,0
58,72,False,False,21,managed throughout,8907.506810998453,4,0
59,73,False,False,21,managed throughout,9190.114347272895,4,0
60,74,False,False,21,managed throughout,7800.04576045232,4,0
61,75,False,False,21,managed throughout,3959.267489194534,4,0
62,76,False,False,21,managed throughout,9159.225235486127,4,0
63,77,False,False,21,managed throughout,9901.125652595161,4,0
64,78,False,False,21,managed throughout,8592.940991049529,4,0
65,79,False,False,21,managed throughout,5273.461142932489,4,0
66,80,False,False,21,managed throughout,4919.916352921033,4,0
67,81,False,False,21,managed throughout,4518.07939486578,4,0
89,103,False,False,21,managed throughout,4608.519888733436,4,0
90,104,False,False,21,managed throughout,4466.3796874634545,5,0
