gis,pad,drowned,relocation_blocked,last_managed_year,reason,overwash_removed_m3,dunes_rebuilt,relocations
9,23,False,False,21,managed throughout,7624.4720872795515,2,1
10,24,False,False,21,managed throughout,9369.0517967958,2,1
11,25,False,False,21,managed throughout,2092.5331307461474,1,1
12,26,False,False,21,managed throughout,5492.8505269428115,2,0
13,27,False,False,21,managed throughout,8021.126193966527,1,0
14,28,False,False,21,managed throughout,5974.900249294377,2,0
15,29,False,False,21,managed throughout,14754.360901752882,1,0
16,30,False,False,21,managed throughout,31936.292039977918,1,0
17,31,False,False,21,managed throughout,6720.9282241931205,1,0
18,32,False,False,21,managed throughout,3084.47672400313,2,0
19,33,False,False,21,managed throughout,2215.71751099156,2,0
20,34,False,False,21,managed throughout,8796.583351807356,1,0
32,46,False,False,21,managed throughout,1657.3860302767753,2,0
33,47,False,False,21,managed throughout,4501.164026875019,2,0
34,48,False,False,21,managed throughout,2795.0783327345325,1,0
35,49,False,False,21,managed throughout,2440.554931303911,2,0
36,50,False,False,21,managed throughout,1865.976015233999,1,0
37,51,False,False,21,managed throughout,5116.153426533719,1,0
38,52,False,False,21,managed throughout,4837.291026573958,2,0
39,53,False,False,21,managed throughout,4049.6145987510745,0,0
40,54,False,False,21,managed throughout,6109.6467319056765,1,0
41,55,False,False,21,managed throughout,5458.2226381113605,1,0
42,56,False,False,21,managed throughout,7688.035679221736,2,0
43,57,False,False,21,managed throughout,5333.514180801532,2,0
44,58,False,False,21,managed throughout,4378.635140592916,2,0
45,59,False,False,21,managed throughout,7537.636930580108,1,0
46,60,False,False,21,managed throughout,8398.677477076064,2,0
47,61,False,False,21,managed throughout,8353.16773464494,2,0
48,62,False,False,21,managed throughout,7677.009434100759,1,0
49,63,False,False,21,managed throughout,4930.325607020523,1,0
50,64,False,False,21,managed throughout,11228.532861978236,2,0
51,65,False,False,21,managed throughout,7605.122351870335,2,0
52,66,False,False,21,managed throughout,2723.156607151039,1,0
53,67,False,False,21,managed throughout,8114.617815389298,2,0
54,68,False,False,21,managed throughout,3630.0422357439234,1,0
55,69,False,False,21,managed throughout,5102.822079348186,2,0
56,70,False,False,21,managed throughout,8055.32202233698,2,0
57,71,False,False,21,managed throughout,7600.346563178496,2,0
58,72,False,False,21,managed throughout,5213.291918649536,1,0
59,73,False,False,21,managed throughout,6841.091198554881,2,0
60,74,False,False,21,managed throughout,5226.016155254916,2,0
61,75,False,False,21,managed throughout,4655.849151980857,2,0
62,76,False,False,21,managed throughout,5998.3891053262805,2,0
63,77,False,False,21,managed throughout,9138.87235116049,1,0
64,78,False,False,21,managed throughout,10037.85196018355,1,0
65,79,False,False,21,managed throughout,7025.509213274146,2,0
66,80,False,False,21,managed throughout,4717.648136031909,1,0
67,81,False,False,21,managed throughout,2977.6161996696032,1,0
84,98,False,False,21,managed throughout,4203.119248788394,3,1
85,99,False,False,21,managed throughout,6139.743612659789,3,1
86,100,False,False,21,managed throughout,11498.215687876334,3,2
87,101,False,False,21,managed throughout,6581.253428043074,3,0
88,102,False,False,21,managed throughout,3295.1507873403716,2,0
89,103,False,False,21,managed throughout,7329.288356477071,2,0
90,104,False,False,21,managed throughout,5395.672495888357,2,0
