domain_number,unit_id,transect_id,start_year,end_year,moving_year,window,n_years,lrr_m_yr,intercept_m,unc_m_yr,r_squared,p_value,n_obs,first_obs,last_obs,ref_lrr_m_yr,ref_unc_m_yr,diff_m_yr,abs_diff_m_yr,in_ci,in_abs,in_rel,in_ci3x,in_abs50,in_abs100,in_overlap
1,usa_NC_0032_0021,usa_NC_0032_0021,1996,2000,2000,1996_2000,5,-8.2304,65.717,1.6003,0.5935,0.0,74,1996-01-26,2000-12-30,-0.5125,0.2906,-7.7179,7.7179,False,False,False,False,False,False,False
1,usa_NC_0032_0021,usa_NC_0032_0021,1996,2001,2001,1996_2001,6,-4.9554,58.291,1.6901,0.2629,0.0,97,1996-01-26,2001-11-08,-0.5125,0.2906,-4.4429,4.4429,False,False,False,False,False,False,False
1,usa_NC_0032_0021,usa_NC_0032_0021,1996,2002,2002,1996_2002,7,-2.5436,51.46,1.5198,0.0838,0.001218,122,1996-01-26,2002-12-29,-0.5125,0.2906,-2.0311,2.0311,False,False,False,False,False,False,False
1,usa_NC_0032_0021,usa_NC_0032_0021,1996,2003,2003,1996_2003,8,0.1705,42.616,1.5037,0.0004,0.822934,136,1996-01-26,2003-12-31,-0.5125,0.2906,0.683,0.683,False,False,False,True,False,True,True
1,usa_NC_0032_0021,usa_NC_0032_0021,1996,2004,2004,1996_2004,9,1.6614,37.377,1.2834,0.041,0.011516,155,1996-01-26,2004-12-17,-0.5125,0.2906,2.1739,2.1739,False,False,False,False,False,False,False
1,usa_NC_0032_0021,usa_NC_0032_0021,1996,2005,2005,1996_2005,10,1.64,37.448,1.1072,0.049,0.003934,168,1996-01-26,2005-12-12,-0.5125,0.2906,2.1525,2.1525,False,False,False,False,False,False,False
1,usa_NC_0032_0021,usa_NC_0032_0021,1996,2006,2006,1996_2006,11,1.7472,36.954,0.983,0.065,0.000573,179,1996-01-26,2006-11-05,-0.5125,0.2906,2.2597,2.2597,False,False,False,False,False,False,False
1,usa_NC_0032_0021,usa_NC_0032_0021,1996,2007,2007,1996_2007,12,2.0102,35.813,0.9014,0.0947,1.8e-05,187,1996-01-26,2007-11-16,-0.5125,0.2906,2.5227,2.5227,False,False,False,False,False,False,False
1,usa_NC_0032_0021,usa_NC_0032_0021,1996,2008,2008,1996_2008,13,2.5248,33.398,0.7139,0.1917,0.0,207,1996-01-26,2008-12-04,-0.5125,0.2906,3.0373,3.0373,False,False,False,False,False,False,False
1,usa_NC_0032_0021,usa_NC_0032_0021,1996,2009,2009,1996_2009,14,2.6698,32.676,0.6688,0.2269,0.0,213,1996-01-26,2009-12-07,-0.5125,0.2906,3.1823,3.1823,False,False,False,False,False,False,False
1,usa_NC_0032_0021,usa_NC_0032_0021,1996,2010,2010,1996_2010,15,2.5023,33.563,0.5715,0.2469,0.0,229,1996-01-26,2010-12-02,-0.5125,0.2906,3.0148,3.0148,False,False,False,False,False,False,False
1,usa_NC_0032_0021,usa_NC_0032_0021,1996,2011,2011,1996_2011,16,2.3299,34.514,0.5041,0.2544,0.0,245,1996-01-26,2011-12-13,-0.5125,0.2906,2.8424,2.8424,False,False,False,False,False,False,False
1,usa_NC_0032_0021,usa_NC_0032_0021,1996,2012,2012,1996_2012,17,2.2895,34.751,0.4726,0.2662,0.0,253,1996-01-26,2012-11-29,-0.5125,0.2906,2.802,2.802,False,False,False,False,False,False,False
1,usa_NC_0032_0021,usa_NC_0032_0021,1996,2013,2013,1996_2013,18,1.8991,37.085,0.4285,0.2219,0.0,269,1996-01-26,2013-12-27,-0.5125,0.2906,2.4116,2.4116,False,False,False,False,False,False,False
1,usa_NC_0032_0021,usa_NC_0032_0021,1996,2014,2014,1996_2014,19,1.4634,39.817,0.3927,0.1593,0.0,286,1996-01-26,2014-12-13,-0.5125,0.2906,1.9759,1.9759,False,False,False,False,False,False,False
1,usa_NC_0032_0021,usa_NC_0032_0021,1996,2015,2015,1996_2015,20,1.1463,41.899,0.3821,0.1063,0.0,295,1996-01-26,2015-12-16,-0.5125,0.2906,1.6588,1.6588,False,False,False,False,False,False,False
1,usa_NC_0032_0021,usa_NC_0032_0021,1996,2016,2016,1996_2016,21,0.5213,46.159,0.3729,0.0238,0.006293,312,1996-01-26,2016-12-10,-0.5125,0.2906,1.0338,1.0338,False,False,False,False,False,False,False
1,usa_NC_0032_0021,usa_NC_0032_0021,1996,2017,2017,1996_2017,22,-0.1285,50.799,0.3509,0.0016,0.471755,335,1996-01-26,2017-12-21,-0.5125,0.2906,0.384,0.384,False,False,False,True,True,True,True
1,usa_NC_0032_0021,usa_NC_0032_0021,1996,2018,2018,1996_2018,23,-0.3657,52.574,0.3283,0.0136,0.029096,350,1996-01-26,2018-12-24,-0.5125,0.2906,0.1468,0.1468,True,True,False,True,True,True,True
1,usa_NC_0032_0021,usa_NC_0032_0021,1996,2019,2019,1996_2019,24,-0.513,53.707,0.3078,0.0287,0.001151,365,1996-01-26,2019-12-27,-0.5125,0.2906,-0.0005,0.0005,True,True,True,True,True,True,True
1,usa_NC_0032_0021,usa_NC_0032_0021,1996,2020,2020,1996_2020,25,-0.5125,53.707,0.2906,0.0312,0.000585,376,1996-01-26,2020-12-29,-0.5125,0.2906,0.0,0.0,True,True,True,True,True,True,True
1,usa_NC_0032_0022,usa_NC_0032_0022,1996,2000,2000,1996_2000,5,-9.0654,61.982,1.7023,0.6102,0.0,74,1996-01-26,2000-12-30,-0.3295,0.2921,-8.7359,8.7359,False,False,False,False,False,False,False
1,usa_NC_0032_0022,usa_NC_0032_0022,1996,2001,2001,1996_2001,6,-5.0798,53.151,1.7764,0.2533,0.0,97,1996-01-26,2001-11-08,-0.3295,0.2921,-4.7503,4.7503,False,False,False,False,False,False,False
1,usa_NC_0032_0022,usa_NC_0032_0022,1996,2002,2002,1996_2002,7,-2.3236,45.288,1.6358,0.0618,0.005745,122,1996-01-26,2002-12-29,-0.3295,0.2921,-1.9941,1.9941,False,False,False,False,False,False,False
1,usa_NC_0032_0022,usa_NC_0032_0022,1996,2003,2003,1996_2003,8,-0.0054,37.74,1.5794,0.0,0.994655,134,1996-01-26,2003-12-31,-0.3295,0.2921,0.3241,0.3241,False,False,False,True,True,True,True
1,usa_NC_0032_0022,usa_NC_0032_0022,1996,2004,2004,1996_2004,9,1.8283,31.29,1.3494,0.0456,0.008253,152,1996-01-26,2004-12-17,-0.3295,0.2921,2.1578,2.1578,False,False,False,False,False,False,False
1,usa_NC_0032_0022,usa_NC_0032_0022,1996,2005,2005,1996_2005,10,1.8359,31.251,1.1425,0.0578,0.001803,166,1996-01-26,2005-12-12,-0.3295,0.2921,2.1654,2.1654,False,False,False,False,False,False,False
1,usa_NC_0032_0022,usa_NC_0032_0022,1996,2006,2006,1996_2006,11,2.0555,30.281,1.0119,0.0841,9e-05,177,1996-01-26,2006-12-15,-0.3295,0.2921,2.385,2.385,False,False,False,False,False,False,False
1,usa_NC_0032_0022,usa_NC_0032_0022,1996,2007,2007,1996_2007,12,2.2178,29.579,0.8941,0.1146,2e-06,187,1996-01-26,2007-11-16,-0.3295,0.2921,2.5473,2.5473,False,False,False,False,False,False,False
1,usa_NC_0032_0022,usa_NC_0032_0022,1996,2008,2008,1996_2008,13,2.8799,26.477,0.7179,0.2329,0.0,208,1996-01-26,2008-12-04,-0.3295,0.2921,3.2094,3.2094,False,False,False,False,False,False,False
1,usa_NC_0032_0022,usa_NC_0032_0022,1996,2009,2009,1996_2009,14,3.0045,25.857,0.6673,0.27,0.0,215,1996-01-26,2009-12-07,-0.3295,0.2921,3.334,3.334,False,False,False,False,False,False,False
1,usa_NC_0032_0022,usa_NC_0032_0022,1996,2010,2010,1996_2010,15,2.8369,26.745,0.5752,0.292,0.0,231,1996-01-26,2010-12-02,-0.3295,0.2921,3.1664,3.1664,False,False,False,False,False,False,False
1,usa_NC_0032_0022,usa_NC_0032_0022,1996,2011,2011,1996_2011,16,2.6264,27.905,0.5116,0.2945,0.0,247,1996-01-26,2011-12-13,-0.3295,0.2921,2.9559,2.9559,False,False,False,False,False,False,False
1,usa_NC_0032_0022,usa_NC_0032_0022,1996,2012,2012,1996_2012,17,2.6186,27.959,0.4837,0.31,0.0,255,1996-01-26,2012-11-29,-0.3295,0.2921,2.9481,2.9481,False,False,False,False,False,False,False
1,usa_NC_0032_0022,usa_NC_0032_0022,1996,2013,2013,1996_2013,18,2.1489,30.792,0.4405,0.2553,0.0,271,1996-01-26,2013-12-27,-0.3295,0.2921,2.4784,2.4784,False,False,False,False,False,False,False
1,usa_NC_0032_0022,usa_NC_0032_0022,1996,2014,2014,1996_2014,19,1.6646,33.857,0.4045,0.1866,0.0,288,1996-01-26,2014-12-13,-0.3295,0.2921,1.9941,1.9941,False,False,False,False,False,False,False
1,usa_NC_0032_0022,usa_NC_0032_0022,1996,2015,2015,1996_2015,20,1.3362,36.033,0.3866,0.1348,0.0,299,1996-01-26,2015-12-16,-0.3295,0.2921,1.6657,1.6657,False,False,False,False,False,False,False
1,usa_NC_0032_0022,usa_NC_0032_0022,1996,2016,2016,1996_2016,21,0.6746,40.576,0.3748,0.0382,0.000458,318,1996-01-26,2016-12-03,-0.3295,0.2921,1.0041,1.0041,False,False,False,False,False,False,False
1,usa_NC_0032_0022,usa_NC_0032_0022,1996,2017,2017,1996_2017,22,0.1042,44.696,0.3522,0.001,0.561014,340,1996-01-26,2017-12-21,-0.3295,0.2921,0.4337,0.4337,False,False,False,True,True,True,True
1,usa_NC_0032_0022,usa_NC_0032_0022,1996,2018,2018,1996_2018,23,-0.1785,46.837,0.3273,0.0032,0.284236,358,1996-01-26,2018-12-25,-0.3295,0.2921,0.151,0.151,True,True,False,True,True,True,True
1,usa_NC_0032_0022,usa_NC_0032_0022,1996,2019,2019,1996_2019,24,-0.3127,47.881,0.3074,0.0107,0.046195,373,1996-01-26,2019-12-27,-0.3295,0.2921,0.0168,0.0168,True,True,True,True,True,True,True
1,usa_NC_0032_0022,usa_NC_0032_0022,1996,2020,2020,1996_2020,25,-0.3295,48.022,0.2921,0.0127,0.027173,383,1996-01-26,2020-12-29,-0.3295,0.2921,0.0,0.0,True,True,True,True,True,True,True
1,usa_NC_0032_0023,usa_NC_0032_0023,1996,2000,2000,1996_2000,5,-9.4477,63.564,1.8091,0.5974,0.0,75,1996-01-26,2000-12-30,-0.2187,0.3049,-9.229,9.229,False,False,False,False,False,False,False
1,usa_NC_0032_0023,usa_NC_0032_0023,1996,2001,2001,1996_2001,6,-4.7097,53.152,1.9535,0.1943,6e-06,97,1996-01-26,2001-11-08,-0.2187,0.3049,-4.491,4.491,False,False,False,False,False,False,False
1,usa_NC_0032_0023,usa_NC_0032_0023,1996,2002,2002,1996_2002,7,-2.0256,45.432,1.7533,0.0418,0.023917,122,1996-01-26,2002-12-29,-0.2187,0.3049,-1.8069,1.8069,False,False,False,False,False,False,True
1,usa_NC_0032_0023,usa_NC_0032_0023,1996,2003,2003,1996_2003,8,0.3015,37.85,1.6648,0.001,0.720768,134,1996-01-26,2003-12-31,-0.2187,0.3049,0.5202,0.5202,False,False,False,True,False,True,True
1,usa_NC_0032_0023,usa_NC_0032_0023,1996,2004,2004,1996_2004,9,2.3522,30.61,1.4855,0.0617,0.002111,151,1996-01-26,2004-12-17,-0.2187,0.3049,2.5709,2.5709,False,False,False,False,False,False,False
1,usa_NC_0032_0023,usa_NC_0032_0023,1996,2005,2005,1996_2005,10,2.3288,30.701,1.2387,0.0775,0.000281,166,1996-01-26,2005-12-12,-0.2187,0.3049,2.5475,2.5475,False,False,False,False,False,False,False
1,usa_NC_0032_0023,usa_NC_0032_0023,1996,2006,2006,1996_2006,11,2.4923,29.958,1.085,0.1046,1.1e-05,178,1996-01-26,2006-12-15,-0.2187,0.3049,2.711,2.711,False,False,False,False,False,False,False
1,usa_NC_0032_0023,usa_NC_0032_0023,1996,2007,2007,1996_2007,12,2.4738,30.04,0.9579,0.1225,1e-06,188,1996-01-26,2007-11-16,-0.2187,0.3049,2.6925,2.6925,False,False,False,False,False,False,False
1,usa_NC_0032_0023,usa_NC_0032_0023,1996,2008,2008,1996_2008,13,3.3387,25.986,0.7731,0.2584,0.0,210,1996-01-26,2008-12-04,-0.2187,0.3049,3.5574,3.5574,False,False,False,False,False,False,False
1,usa_NC_0032_0023,usa_NC_0032_0023,1996,2009,2009,1996_2009,14,3.3889,25.737,0.7334,0.2803,0.0,215,1996-01-26,2009-12-07,-0.2187,0.3049,3.6076,3.6076,False,False,False,False,False,False,False
1,usa_NC_0032_0023,usa_NC_0032_0023,1996,2010,2010,1996_2010,15,3.1991,26.742,0.631,0.3035,0.0,231,1996-01-26,2010-12-02,-0.2187,0.3049,3.4178,3.4178,False,False,False,False,False,False,False
1,usa_NC_0032_0023,usa_NC_0032_0023,1996,2011,2011,1996_2011,16,3.0089,27.783,0.5602,0.3154,0.0,245,1996-01-26,2011-11-03,-0.2187,0.3049,3.2276,3.2276,False,False,False,False,False,False,False
1,usa_NC_0032_0023,usa_NC_0032_0023,1996,2012,2012,1996_2012,17,2.8859,28.493,0.5436,0.3069,0.0,249,1996-01-26,2012-11-29,-0.2187,0.3049,3.1046,3.1046,False,False,False,False,False,False,False
1,usa_NC_0032_0023,usa_NC_0032_0023,1996,2013,2013,1996_2013,18,2.463,31.027,0.4917,0.2723,0.0,262,1996-01-26,2013-12-27,-0.2187,0.3049,2.6817,2.6817,False,False,False,False,False,False,False
1,usa_NC_0032_0023,usa_NC_0032_0023,1996,2014,2014,1996_2014,19,1.8661,34.759,0.4477,0.1956,0.0,279,1996-01-26,2014-12-13,-0.2187,0.3049,2.0848,2.0848,False,False,False,False,False,False,False
1,usa_NC_0032_0023,usa_NC_0032_0023,1996,2015,2015,1996_2015,20,1.4915,37.199,0.4232,0.1432,0.0,290,1996-01-26,2015-12-16,-0.2187,0.3049,1.7102,1.7102,False,False,False,False,False,False,False
1,usa_NC_0032_0023,usa_NC_0032_0023,1996,2016,2016,1996_2016,21,0.8184,41.749,0.4034,0.0495,8.2e-05,308,1996-01-26,2016-12-03,-0.2187,0.3049,1.0371,1.0371,False,False,False,False,False,False,False
1,usa_NC_0032_0023,usa_NC_0032_0023,1996,2017,2017,1996_2017,22,0.2302,45.924,0.3735,0.0045,0.226207,330,1996-01-26,2017-12-21,-0.2187,0.3049,0.4489,0.4489,False,False,False,True,True,True,True
1,usa_NC_0032_0023,usa_NC_0032_0023,1996,2018,2018,1996_2018,23,-0.052,48.021,0.342,0.0003,0.765306,349,1996-01-26,2018-12-25,-0.2187,0.3049,0.1667,0.1667,True,True,False,True,True,True,True
1,usa_NC_0032_0023,usa_NC_0032_0023,1996,2019,2019,1996_2019,24,-0.2221,49.326,0.3209,0.0051,0.174238,364,1996-01-26,2019-12-27,-0.2187,0.3049,-0.0034,0.0034,True,True,True,True,True,True,True
1,usa_NC_0032_0023,usa_NC_0032_0023,1996,2020,2020,1996_2020,25,-0.2187,49.301,0.3049,0.0053,0.159219,374,1996-01-26,2020-12-29,-0.2187,0.3049,0.0,0.0,True,True,True,True,True,True,True
1,usa_NC_0032_0024,usa_NC_0032_0024,1996,2000,2000,1996_2000,5,-9.9977,76.02,1.8631,0.6104,0.0,75,1996-01-26,2000-12-30,0.0148,0.308,-10.0125,10.0125,False,False,False,False,False,False,False
1,usa_NC_0032_0024,usa_NC_0032_0024,1996,2001,2001,1996_2001,6,-4.8151,64.733,2.1026,0.1787,1.6e-05,97,1996-01-26,2001-11-08,0.0148,0.308,-4.8299,4.8299,False,False,False,False,False,False,False
1,usa_NC_0032_0024,usa_NC_0032_0024,1996,2002,2002,1996_2002,7,-2.2096,57.294,1.7815,0.0479,0.015492,122,1996-01-26,2002-12-29,0.0148,0.308,-2.2244,2.2244,False,False,False,False,False,False,False
1,usa_NC_0032_0024,usa_NC_0032_0024,1996,2003,2003,1996_2003,8,0.1015,49.766,1.6786,0.0001,0.904934,134,1996-01-26,2003-12-31,0.0148,0.308,0.0867,0.0867,True,True,False,True,True,True,True
1,usa_NC_0032_0024,usa_NC_0032_0024,1996,2004,2004,1996_2004,9,2.3016,42.016,1.4997,0.0581,0.002861,151,1996-01-26,2004-12-17,0.0148,0.308,2.2868,2.2868,False,False,False,False,False,False,False
1,usa_NC_0032_0024,usa_NC_0032_0024,1996,2005,2005,1996_2005,10,2.1562,42.559,1.2693,0.065,0.00099,164,1996-01-26,2005-12-12,0.0148,0.308,2.1414,2.1414,False,False,False,False,False,False,False
1,usa_NC_0032_0024,usa_NC_0032_0024,1996,2006,2006,1996_2006,11,2.5047,41.061,1.1045,0.1032,1.4e-05,176,1996-01-26,2006-12-15,0.0148,0.308,2.4899,2.4899,False,False,False,False,False,False,False
1,usa_NC_0032_0024,usa_NC_0032_0024,1996,2007,2007,1996_2007,12,2.4697,41.2,0.9736,0.1198,1e-06,186,1996-01-26,2007-11-16,0.0148,0.308,2.4549,2.4549,False,False,False,False,False,False,False
1,usa_NC_0032_0024,usa_NC_0032_0024,1996,2008,2008,1996_2008,13,3.5039,36.388,0.8043,0.2656,0.0,206,1996-01-26,2008-11-26,0.0148,0.308,3.4891,3.4891,False,False,False,False,False,False,False
1,usa_NC_0032_0024,usa_NC_0032_0024,1996,2009,2009,1996_2009,14,3.5781,36.022,0.7629,0.2903,0.0,211,1996-01-26,2009-12-07,0.0148,0.308,3.5633,3.5633,False,False,False,False,False,False,False
1,usa_NC_0032_0024,usa_NC_0032_0024,1996,2010,2010,1996_2010,15,3.3678,37.126,0.6499,0.3167,0.0,227,1996-01-26,2010-12-02,0.0148,0.308,3.353,3.353,False,False,False,False,False,False,False
1,usa_NC_0032_0024,usa_NC_0032_0024,1996,2011,2011,1996_2011,16,3.1317,38.409,0.5705,0.3276,0.0,242,1996-01-26,2011-11-11,0.0148,0.308,3.1169,3.1169,False,False,False,False,False,False,False
1,usa_NC_0032_0024,usa_NC_0032_0024,1996,2012,2012,1996_2012,17,3.0686,38.783,0.5387,0.3376,0.0,249,1996-01-26,2012-11-29,0.0148,0.308,3.0538,3.0538,False,False,False,False,False,False,False
1,usa_NC_0032_0024,usa_NC_0032_0024,1996,2013,2013,1996_2013,18,2.644,41.324,0.4856,0.3058,0.0,263,1996-01-26,2013-12-27,0.0148,0.308,2.6292,2.6292,False,False,False,False,False,False,False
1,usa_NC_0032_0024,usa_NC_0032_0024,1996,2014,2014,1996_2014,19,2.0943,44.745,0.4464,0.2348,0.0,280,1996-01-26,2014-12-13,0.0148,0.308,2.0795,2.0795,False,False,False,False,False,False,False
1,usa_NC_0032_0024,usa_NC_0032_0024,1996,2015,2015,1996_2015,20,1.6798,47.454,0.4193,0.1761,0.0,293,1996-01-26,2015-12-16,0.0148,0.308,1.665,1.665,False,False,False,False,False,False,False
1,usa_NC_0032_0024,usa_NC_0032_0024,1996,2016,2016,1996_2016,21,1.0218,51.916,0.4015,0.0748,1e-06,312,1996-01-26,2016-12-10,0.0148,0.308,1.007,1.007,False,False,False,False,False,False,False
1,usa_NC_0032_0024,usa_NC_0032_0024,1996,2017,2017,1996_2017,22,0.502,55.625,0.3748,0.0206,0.008827,332,1996-01-26,2017-12-21,0.0148,0.308,0.4872,0.4872,False,False,False,True,True,True,True
1,usa_NC_0032_0024,usa_NC_0032_0024,1996,2018,2018,1996_2018,23,0.2446,57.549,0.3448,0.0056,0.163795,350,1996-01-26,2018-12-25,0.0148,0.308,0.2298,0.2298,True,True,False,True,True,True,True
1,usa_NC_0032_0024,usa_NC_0032_0024,1996,2019,2019,1996_2019,24,0.0174,59.308,0.3233,0.0,0.915651,367,1996-01-26,2019-12-27,0.0148,0.308,0.0026,0.0026,True,True,True,True,True,True,True
1,usa_NC_0032_0024,usa_NC_0032_0024,1996,2020,2020,1996_2020,25,0.0148,59.331,0.308,0.0,0.924713,377,1996-01-26,2020-12-29,0.0148,0.308,0.0,0.0,True,True,True,True,True,True,True
1,usa_NC_0032_0025,usa_NC_0032_0025,1996,2000,2000,1996_2000,5,-10.635,54.109,1.861,0.6334,0.0,77,1996-01-26,2000-12-30,0.2077,0.3018,-10.8427,10.8427,False,False,False,False,False,False,False
1,usa_NC_0032_0025,usa_NC_0032_0025,1996,2001,2001,1996_2001,6,-4.9714,42.065,2.1652,0.1748,1.5e-05,100,1996-01-26,2001-11-08,0.2077,0.3018,-5.1791,5.1791,False,False,False,False,False,False,False
1,usa_NC_0032_0025,usa_NC_0032_0025,1996,2002,2002,1996_2002,7,-2.1922,34.339,1.7924,0.0451,0.016938,126,1996-01-26,2002-12-29,0.2077,0.3018,-2.3999,2.3999,False,False,False,False,False,False,False
1,usa_NC_0032_0025,usa_NC_0032_0025,1996,2003,2003,1996_2003,8,-0.3562,28.435,1.6623,0.0013,0.672419,137,1996-01-26,2003-12-31,0.2077,0.3018,-0.5639,0.5639,False,False,False,True,False,True,True
1,usa_NC_0032_0025,usa_NC_0032_0025,1996,2004,2004,1996_2004,9,2.0017,20.263,1.5062,0.0434,0.009535,154,1996-01-26,2004-12-17,0.2077,0.3018,1.794,1.794,False,False,False,False,False,False,True
1,usa_NC_0032_0025,usa_NC_0032_0025,1996,2005,2005,1996_2005,10,2.0918,19.925,1.2491,0.0611,0.001156,170,1996-01-26,2005-12-12,0.2077,0.3018,1.8841,1.8841,False,False,False,False,False,False,False
1,usa_NC_0032_0025,usa_NC_0032_0025,1996,2006,2006,1996_2006,11,2.4444,18.451,1.0868,0.0986,1.6e-05,182,1996-01-26,2006-12-15,0.2077,0.3018,2.2367,2.2367,False,False,False,False,False,False,False
1,usa_NC_0032_0025,usa_NC_0032_0025,1996,2007,2007,1996_2007,12,2.6656,17.444,0.9628,0.135,0.0,193,1996-01-26,2007-12-18,0.2077,0.3018,2.4579,2.4579,False,False,False,False,False,False,False
1,usa_NC_0032_0025,usa_NC_0032_0025,1996,2008,2008,1996_2008,13,3.4983,13.592,0.8061,0.2584,0.0,212,1996-01-26,2008-11-26,0.2077,0.3018,3.2906,3.2906,False,False,False,False,False,False,False
1,usa_NC_0032_0025,usa_NC_0032_0025,1996,2009,2009,1996_2009,14,3.5682,13.251,0.7733,0.2788,0.0,216,1996-01-26,2009-12-07,0.2077,0.3018,3.3605,3.3605,False,False,False,False,False,False,False
1,usa_NC_0032_0025,usa_NC_0032_0025,1996,2010,2010,1996_2010,15,3.5079,13.567,0.6678,0.3197,0.0,230,1996-01-26,2010-12-02,0.2077,0.3018,3.3002,3.3002,False,False,False,False,False,False,False
1,usa_NC_0032_0025,usa_NC_0032_0025,1996,2011,2011,1996_2011,16,3.1865,15.291,0.5763,0.3262,0.0,247,1996-01-26,2011-11-11,0.2077,0.3018,2.9788,2.9788,False,False,False,False,False,False,False
1,usa_NC_0032_0025,usa_NC_0032_0025,1996,2012,2012,1996_2012,17,3.0166,16.258,0.5469,0.3189,0.0,254,1996-01-26,2012-11-29,0.2077,0.3018,2.8089,2.8089,False,False,False,False,False,False,False
1,usa_NC_0032_0025,usa_NC_0032_0025,1996,2013,2013,1996_2013,18,2.5856,18.819,0.4886,0.289,0.0,269,1996-01-26,2013-12-27,0.2077,0.3018,2.3779,2.3779,False,False,False,False,False,False,False
1,usa_NC_0032_0025,usa_NC_0032_0025,1996,2014,2014,1996_2014,19,2.0601,22.063,0.4478,0.224,0.0,286,1996-01-26,2014-12-14,0.2077,0.3018,1.8524,1.8524,False,False,False,False,False,False,False
1,usa_NC_0032_0025,usa_NC_0032_0025,1996,2015,2015,1996_2015,20,1.701,24.384,0.4143,0.1797,0.0,300,1996-01-26,2015-12-16,0.2077,0.3018,1.4933,1.4933,False,False,False,False,False,False,False
1,usa_NC_0032_0025,usa_NC_0032_0025,1996,2016,2016,1996_2016,21,1.1235,28.276,0.3955,0.0899,0.0,318,1996-01-26,2016-12-10,0.2077,0.3018,0.9158,0.9158,False,False,False,False,False,True,False
1,usa_NC_0032_0025,usa_NC_0032_0025,1996,2017,2017,1996_2017,22,0.6399,31.692,0.3649,0.0341,0.000634,339,1996-01-26,2017-12-21,0.2077,0.3018,0.4322,0.4322,False,False,False,True,True,True,True
1,usa_NC_0032_0025,usa_NC_0032_0025,1996,2018,2018,1996_2018,23,0.4116,33.384,0.3373,0.016,0.016908,356,1996-01-26,2018-12-25,0.2077,0.3018,0.2039,0.2039,True,True,False,True,True,True,True
1,usa_NC_0032_0025,usa_NC_0032_0025,1996,2019,2019,1996_2019,24,0.2092,34.944,0.3152,0.0046,0.192688,373,1996-01-26,2019-12-27,0.2077,0.3018,0.0015,0.0015,True,True,True,True,True,True,True
1,usa_NC_0032_0025,usa_NC_0032_0025,1996,2020,2020,1996_2020,25,0.2077,34.958,0.3018,0.0048,0.176868,382,1996-01-26,2020-12-29,0.2077,0.3018,0.0,0.0,True,True,True,True,True,True,True
1,usa_NC_0032_0026,usa_NC_0032_0026,1996,2000,2000,1996_2000,5,-11.2389,61.77,1.7599,0.6833,0.0,77,1996-01-26,2000-12-30,0.4357,0.2921,-11.6746,11.6746,False,False,False,False,False,False,False
1,usa_NC_0032_0026,usa_NC_0032_0026,1996,2001,2001,1996_2001,6,-6.0322,50.659,2.0171,0.2644,0.0,100,1996-01-26,2001-11-08,0.4357,0.2921,-6.4679,6.4679,False,False,False,False,False,False,False
1,usa_NC_0032_0026,usa_NC_0032_0026,1996,2002,2002,1996_2002,7,-2.6784,41.513,1.7411,0.0701,0.002847,125,1996-01-26,2002-12-29,0.4357,0.2921,-3.1141,3.1141,False,False,False,False,False,False,False
1,usa_NC_0032_0026,usa_NC_0032_0026,1996,2003,2003,1996_2003,8,-0.7776,35.443,1.6206,0.0067,0.344285,136,1996-01-26,2003-12-31,0.4357,0.2921,-1.2133,1.2133,False,False,False,False,False,False,True
1,usa_NC_0032_0026,usa_NC_0032_0026,1996,2004,2004,1996_2004,9,1.6335,27.109,1.5029,0.0298,0.033354,152,1996-01-26,2004-12-17,0.4357,0.2921,1.1978,1.1978,False,False,False,False,False,False,True
1,usa_NC_0032_0026,usa_NC_0032_0026,1996,2005,2005,1996_2005,10,1.814,26.43,1.2633,0.0467,0.005156,166,1996-01-26,2005-12-12,0.4357,0.2921,1.3783,1.3783,False,False,False,False,False,False,True
1,usa_NC_0032_0026,usa_NC_0032_0026,1996,2006,2006,1996_2006,11,2.3678,24.168,1.0965,0.0935,3.3e-05,178,1996-01-26,2006-12-15,0.4357,0.2921,1.9321,1.9321,False,False,False,False,False,False,False
1,usa_NC_0032_0026,usa_NC_0032_0026,1996,2007,2007,1996_2007,12,2.6896,22.728,0.9704,0.1378,0.0,189,1996-01-26,2007-12-18,0.4357,0.2921,2.2539,2.2539,False,False,False,False,False,False,False
1,usa_NC_0032_0026,usa_NC_0032_0026,1996,2008,2008,1996_2008,13,3.2841,20.02,0.8166,0.2356,0.0,206,1996-01-26,2008-11-26,0.4357,0.2921,2.8484,2.8484,False,False,False,False,False,False,False
1,usa_NC_0032_0026,usa_NC_0032_0026,1996,2009,2009,1996_2009,14,3.3526,19.69,0.7718,0.2597,0.0,211,1996-01-26,2009-12-07,0.4357,0.2921,2.9169,2.9169,False,False,False,False,False,False,False
1,usa_NC_0032_0026,usa_NC_0032_0026,1996,2010,2010,1996_2010,15,3.4787,19.046,0.67,0.3205,0.0,224,1996-01-26,2010-12-02,0.4357,0.2921,3.043,3.043,False,False,False,False,False,False,False
1,usa_NC_0032_0026,usa_NC_0032_0026,1996,2011,2011,1996_2011,16,3.1137,20.981,0.5749,0.3226,0.0,241,1996-01-26,2011-11-11,0.4357,0.2921,2.678,2.678,False,False,False,False,False,False,False
1,usa_NC_0032_0026,usa_NC_0032_0026,1996,2012,2012,1996_2012,17,2.9526,21.883,0.5431,0.3179,0.0,248,1996-01-26,2012-11-29,0.4357,0.2921,2.5169,2.5169,False,False,False,False,False,False,False
