domain_number,coastsat_loess_m_yr,endpoint_raw_m_yr,endpoint_loess_m_yr,model_endpoint_coastsat_m_yr,model_lrr_coastsat_m_yr,resid_lrr_coastsat_vs_coastsat_loess_m_yr,resid_endpoint_coastsat_vs_endpoint_raw_m_yr,resid_endpoint_coastsat_vs_endpoint_loess_m_yr,model_endpoint_dunemean3_m_yr,model_lrr_dunemean3_m_yr,resid_lrr_dunemean3_vs_coastsat_loess_m_yr,resid_endpoint_dunemean3_vs_endpoint_raw_m_yr,resid_endpoint_dunemean3_vs_endpoint_loess_m_yr,model_endpoint_duneraw_m_yr,model_lrr_duneraw_m_yr,resid_lrr_duneraw_vs_coastsat_loess_m_yr,resid_endpoint_duneraw_vs_endpoint_raw_m_yr,resid_endpoint_duneraw_vs_endpoint_loess_m_yr
1,6.896055555555556,1.042,1.0419800000000001,8.839756122683607,6.878419325022546,-0.01763623053301,7.797756122683607,7.797776122683606,1.3227695276201692,0.7532948288387281,-6.142760726716828,0.28076952762016916,0.28078952762016907,1.0441011308772172,0.5370455438706597,-6.359010011684896,0.0021011308772171944,0.0021211308772171034
2,4.049590909090909,1.311,1.31086,7.267563606967867,6.286055785270597,2.2364648761796886,5.956563606967867,5.956703606967867,1.0374786198746213,0.5726025656024517,-3.4769883434884568,-0.27352138012537863,-0.2733813801253786,0.8024845956564864,0.3689205763827956,-3.680670332708113,-0.5085154043435135,-0.5083754043435135
3,3.4409199999999998,1.6,1.60024,5.889430355954963,5.359443662707264,1.9185236627072642,4.289430355954963,4.289190355954963,0.7730546886603926,0.2995796180663384,-3.141340381933661,-0.8269453113396075,-0.8271853113396075,0.5833774734179055,0.1222065748200282,-3.3187134251799715,-1.0166225265820947,-1.0168625265820945
4,3.3107384615384614,1.378,1.37822,4.611419759268626,4.302363649107111,0.9916251875686495,3.2334197592686262,3.2331997592686266,0.4539557375344105,-0.0108897645770796,-3.321628226115541,-0.9240442624655893,-0.9242642624655895,0.306510427028765,-0.1532349568595414,-3.4639734183980027,-1.0714895729712348,-1.071709572971235
5,2.410684615384615,0.373,0.37308,3.497208898147749,3.2638656485281823,0.8531810331435672,3.1242088981477494,3.1241288981477493,0.1622099779653061,-0.2934870298134996,-2.7041716451981146,-0.2107900220346939,-0.21087002203469393,0.0500356342242542,-0.4046416188020399,-2.815326234186655,-0.3229643657757458,-0.3230443657757458
6,-1.1303833333333333,-2.154,-2.1536,1.519035640700427,2.3588812449345866,3.48926457826792,3.673035640700427,3.672635640700427,-1.1255582700101254,-0.5065610357839994,0.6238222975493339,1.0284417299898745,1.0280417299898745,-1.2133401376416129,-0.5935123180632339,0.5368710152700994,0.9406598623583871,0.9402598623583871
7,-0.16792500000000002,-2.756,-2.75612,1.500467183708679,1.8654956369474425,2.0334206369474424,4.256467183708679,4.256587183708679,-0.5785475279934482,-0.3962866972046093,-0.22836169720460928,2.177452472006552,2.1775724720065517,-0.6459880476420169,-0.4631999696621145,-0.29527496966211453,2.110011952357983,2.110131952357983
8,1.573175,-2.822,-2.8217600000000003,1.3883804363028631,1.4577823275932045,-0.11539267240679552,4.210380436302863,4.210140436302863,-0.2256351747817981,-0.2920725086052208,-1.8652475086052207,2.596364825218202,2.5961248252182023,-0.2767264933224526,-0.3428662527336239,-1.916041252733624,2.5452735066775474,2.5450335066775476
9,2.6427444444444443,-0.836,-0.83636,1.3591908472178278,1.2142096039510308,-1.4285348404934135,2.1951908472178276,2.195550847217828,0.119757688458906,-0.1167680026539122,-2.7595124470983565,0.955757688458906,0.956117688458906,0.08150723095449,-0.1548888623934318,-2.7976333068378763,0.9175072309544899,0.91786723095449
10,3.7240699999999998,-0.474,-0.4739,1.2816419696609955,1.0418773264894006,-2.682192673510599,1.7556419696609955,1.7555419696609955,0.3405412368995582,0.0454777341461081,-3.678592265853892,0.8145412368995582,0.8144412368995582,0.3121761520265603,0.0171490601001859,-3.7069209398998137,0.7861761520265602,0.7860761520265602
